,Date,actural_return,historic_mean,predicted_return,f_err,r_err,RMSE_diff,se_lm,se_mean,,,
1,12655,-2.15,0.02722275,0.184444444,-2.17722275,-2.334444444,0.157221694,4.740298905,5.449630864,,,
2,12656,-0.87,-0.016793713,0.175361111,-0.853206287,-1.045361111,0.155126916,0.727960968,1.092779853,,,
3,12657,0.8,-0.107846017,0.171388889,0.907846017,0.628611111,0.072429077,0.824184391,0.395151929,,,
4,12660,-0.88,0.332422228,0.173083333,-1.212422228,-1.053083333,0.025266553,1.469967658,1.108984507,,,
5,12661,-1.43,0.287712321,0.171333333,-1.717712321,-1.601333333,-0.006994085,2.950535618,2.564268444,,,
6,12662,-0.87,-0.551909702,0.162916667,-0.318090298,-1.032916667,0.052576434,0.101181438,1.06691684,,,
7,12663,0.29,-0.177073993,0.157305556,0.467073993,0.132694444,0.037175216,0.218158115,0.017607816,,,
8,12664,1.01,-0.315428298,0.156055556,1.325428298,0.853944444,-0.018147407,1.756760174,0.729221114,,,
9,12668,-1.16,-0.447591718,0.154333333,-0.712408282,-1.314333333,0.038490751,0.50752556,1.727472111,,,
10,12669,0.78,-0.007457648,0.145583333,0.787457648,0.634416667,0.026732027,0.620089548,0.402484507,,,
11,12670,-0.13,-0.050812851,0.148777778,-0.079187149,-0.278777778,0.028301602,0.006270605,0.077717049,,,
12,12671,-0.9,-0.760280079,0.148861111,-0.139719921,-1.048861111,0.067100322,0.019521656,1.10010963,,,
13,12674,-0.54,0.166848071,0.144694444,-0.706848071,-0.684694444,0.062345674,0.499634195,0.468806482,,,
14,12675,0.98,0.268622849,0.141083333,0.711377151,0.838916667,0.065553182,0.506057451,0.703781174,,,
15,12676,1.73,-0.052744831,0.138805556,1.782744831,1.591194444,0.039044842,3.178179133,2.53189976,,,
16,12677,0.46,0.068367412,0.138083333,0.391632588,0.321916667,0.036245692,0.153376084,0.10363034,,,
17,12678,-0.06,0.011773915,0.126388889,-0.071773915,-0.186388889,0.035970014,0.005151495,0.034740818,,,
18,12681,0.23,-0.590873499,0.122444444,0.820873499,0.107555556,0.016861456,0.673833302,0.011568198,,,
19,12682,-1.02,-0.030935909,0.121861111,-0.989064091,-1.141861111,0.024213955,0.978247777,1.303846797,,,
20,12683,1.47,0.328550498,0.112527778,1.141449502,1.357472222,0.035616089,1.302906966,1.842730834,,,
21,12684,-0.13,0.482259059,0.112222222,-0.612259059,-0.242222222,0.027263595,0.374861155,0.058671605,,,
22,12685,1.12,0.238018297,0.110388889,0.881981703,1.009611111,0.031469413,0.777891724,1.019314596,,,
23,12688,-0.04,-0.188228122,0.105277778,0.148228122,-0.145277778,0.030744567,0.021971576,0.021105633,,,
24,12689,0.59,-0.600942287,0.093388889,1.190942287,0.496611111,0.005132944,1.41834353,0.246622596,,,
25,12690,0.61,-0.54115958,0.091972222,1.15115958,0.518027778,-0.016294544,1.325168379,0.268352779,,,
26,12691,0.8,0.702429777,0.091583333,0.097570223,0.708416667,-0.006241883,0.009519948,0.501854174,,,
27,12692,0.22,0.081252823,0.089388889,0.138747177,0.130611111,-0.006165134,0.019250779,0.017059262,,,
28,12695,0.1,-1.093229735,0.083055556,1.193229735,0.016944444,-0.032487342,1.423797202,0.000287114,,,
29,12696,-0.5,-0.347717592,0.078833333,-0.152282408,-0.578833333,-0.026122125,0.023189932,0.335048028,,,
30,12697,0.55,-0.531962981,0.080777778,1.081962981,0.469222222,-0.0421725,1.170643892,0.220169494,,,
31,12698,0.18,-0.114389234,0.077916667,0.294389234,0.102083333,-0.04277595,0.086665021,0.010421007,,,
32,12699,-0.88,0.645024044,0.079666667,-1.525024044,-0.959666667,-0.064248881,2.325698333,0.920960111,,,
33,12702,0.24,0.051450314,0.081722222,0.188549686,0.158277778,-0.063406019,0.035550984,0.025051855,,,
34,12703,0.01,0.331053465,0.090138889,-0.321053465,-0.080138889,-0.063964995,0.103075328,0.006422242,,,
35,12704,0.53,0.445066979,0.090333333,0.084933021,0.439666667,-0.059980455,0.007213618,0.193306778,,,
36,12705,0.76,-0.329002799,0.096666667,1.089002799,0.663333333,-0.069821665,1.185927095,0.440011111,,,
37,12706,0.67,0.494876459,0.096944444,0.175123541,0.573055556,-0.064142848,0.030668255,0.32839267,,,
38,12709,0.23,-0.109667801,0.098916667,0.339667801,0.131083333,-0.064690518,0.115374215,0.01718284,,,
39,12710,1.22,0.767104765,0.096527778,0.452895235,1.123472222,-0.047667258,0.205114094,1.262189834,,,
40,12711,1.04,-0.43032914,0.101305556,1.47032914,0.938694444,-0.063910788,2.161867779,0.88114726,,,
