,Date,actural_return,historic_mean,predicted_return,f_err,r_err,RMSE_diff,se_lm,se_mean,,,
49,12240,0.19,-0.106761851,0.094166667,0.296761851,0.095833333,-0.085385044,0.088067596,0.009184028,,,
50,12241,-0.01,0.397430545,0.093083333,-0.407430545,-0.103083333,-0.086184217,0.165999649,0.010626174,,,
51,12242,0.41,-0.807769297,0.094361111,1.217769297,0.315638889,-0.099793579,1.482962062,0.099627908,,,
52,12243,-1.19,0.201882903,0.09825,-1.391882903,-1.28825,-0.099665352,1.937338015,1.659588063,,,
53,12244,0.19,0.223580302,0.103222222,-0.033580302,0.086777778,-0.098647523,0.001127637,0.007530383,,,
54,12247,1.05,-0.154012652,0.103555556,1.204012652,0.946444444,-0.102141186,1.449646466,0.895757086,,,
55,12248,0.32,0.265709302,0.109444444,0.054290698,0.210555556,-0.100754918,0.00294748,0.044333642,,,
56,12249,-0.44,0.639394125,0.107833333,-1.079394125,-0.547833333,-0.107759244,1.165091677,0.300121361,,,
57,12250,1.28,-0.103961549,0.106111111,1.383961549,1.173888889,-0.110145812,1.915349568,1.378015123,,,
58,12251,-0.01,-0.068257943,0.112083333,0.058257943,-0.122083333,-0.109068819,0.003393988,0.01490434,,,
59,12254,0.74,0.30218169,0.110861111,0.43781831,0.629138889,-0.105824016,0.191684873,0.395815742,,,
60,12255,0.42,-0.173050744,0.108194444,0.593050744,0.311805556,-0.107109569,0.351709184,0.097222704,,,
61,12256,-0.91,0.020755359,0.108944444,-0.930755359,-1.018944444,-0.103534061,0.866305539,1.038247781,,,
62,12257,-1.64,0.381629693,0.106111111,-2.021629693,-1.746111111,-0.108294446,4.086986616,3.048904012,,,
63,12258,-1.19,0.295931905,0.097694444,-1.485931905,-1.287694444,-0.110225027,2.207993628,1.658156982,,,
64,12261,1.2,-0.032899064,0.098861111,1.232899064,1.101138889,-0.110588066,1.520040101,1.212506853,,,
65,12262,-0.49,0.41034558,0.10325,-0.90034558,-0.59325,-0.113012956,0.810622163,0.351945563,,,
66,12263,0.64,0.721479761,0.107305556,-0.081479761,0.532694444,-0.109687699,0.006638951,0.283763371,,,
67,12264,-1.8,0.669262165,0.113916667,-2.469262165,-1.913916667,-0.123640723,6.097255638,3.663077007,,,
68,12265,0.08,0.153755717,0.1095,-0.073755717,-0.0295,-0.12276105,0.005439906,0.00087025,,,
69,12268,-1.15,-0.137145604,0.110972222,-1.012854396,-1.260972222,-0.116171014,1.025874027,1.590050945,,,
70,12269,0.78,0.117141021,0.105138889,0.662858979,0.674861111,-0.114791482,0.439382026,0.455437519,,,
71,12270,1.05,-0.451563659,0.101027778,1.501563659,0.948972222,-0.122713776,2.254693423,0.900548279,,,
72,12271,-0.59,-0.181106649,0.104138889,-0.408893351,-0.694138889,-0.119200218,0.167193773,0.481828797,,,
73,12272,-1.1,0.309999932,0.101972222,-1.409999932,-1.201972222,-0.120762188,1.988099809,1.444737223,,,
74,12275,-0.72,-0.34330145,0.098222222,-0.37669855,-0.818222222,-0.115756923,0.141901797,0.669487605,,,
75,12276,-2.14,-0.208793606,0.093194444,-1.931206394,-2.233194444,-0.102584963,3.729558137,4.987157427,,,
76,12277,0.33,-0.541581783,0.084972222,0.871581783,0.245027778,-0.106416465,0.759654805,0.060038612,,,
77,12278,1.26,0.127966534,0.084416667,1.132033466,1.175583333,-0.104049665,1.281499768,1.381996174,,,
78,12279,0.26,-0.222465185,0.082416667,0.482465185,0.177583333,-0.104635827,0.232772655,0.03153584,,,
79,12282,-0.79,-0.184992129,0.086388889,-0.605007871,-0.876388889,-0.100889283,0.366034523,0.768057485,,,
80,12283,1.45,0.224567824,0.084055556,1.225432176,1.365944444,-0.09672732,1.501684019,1.865804225,,,
81,12284,0.66,-0.068947505,0.086666667,0.728947505,0.573333333,-0.097158943,0.531364465,0.328711111,,,
82,12285,0.61,0.279326676,0.085416667,0.330673324,0.524583333,-0.095375323,0.109344847,0.275187674,,,
83,12286,-0.8,0.108394355,0.08075,-0.908394355,-0.88075,-0.094605776,0.825180304,0.775720563,,,
84,12289,1.68,0.050019057,0.075305556,1.629980943,1.604694444,-0.09295037,2.656837876,2.57504426,,,
85,12290,-0.28,0.132548621,0.075472222,-0.412548621,-0.355472222,-0.092583727,0.170196365,0.126360501,,,
86,12291,-0.6,0.250141018,0.073666667,-0.850141018,-0.673666667,-0.09333738,0.722739751,0.453826778,,,
87,12292,-2.23,0.123149579,0.066972222,-2.353149579,-2.296972222,-0.09128716,5.537312941,5.27608139,,,
88,12293,-0.69,0.124468773,0.059416667,-0.814468773,-0.749416667,-0.091027928,0.663359383,0.56162534,,,
89,12297,1.05,0.098577812,0.049583333,0.951422188,1.000416667,-0.089459305,0.90520418,1.000833507,,,
90,12298,-0.12,0.491586147,0.050555556,-0.611586147,-0.170555556,-0.090823564,0.374037615,0.029089198,,,
91,12299,-0.69,0.284610973,0.052944444,-0.974610973,-0.742944444,-0.092176793,0.94986655,0.551966448,,,
92,12300,0.14,-0.228423156,0.048,0.368423156,0.092,-0.092350899,0.135735622,0.008464,,,
93,12303,-0.76,0.129817256,0.045111111,-0.889817256,-0.805111111,-0.09227113,0.79177475,0.648203901,,,
94,12304,-0.25,0.223128371,0.0415,-0.473128371,-0.2915,-0.09246547,0.223850456,0.08497225,,,
95,12305,-1.26,0.600750659,0.037166667,-1.860750659,-1.297166667,-0.100298452,3.462393015,1.682641361,,,
96,12306,0.31,0.252135849,0.030861111,0.057864151,0.279138889,-0.099349933,0.00334826,0.077918519,,,
97,12307,0.18,0.64095712,0.028361111,-0.46095712,0.151638889,-0.099787771,0.212481467,0.022994353,,,
98,12310,0.74,0.365989653,0.027,0.374010347,0.713,-0.097136748,0.13988374,0.508369,,,
99,12311,-1.86,0.052924972,0.031277778,-1.912924972,-1.891277778,-0.095191298,3.65928195,3.576931633,,,
100,12312,0.05,-0.223708848,0.020305556,0.273708848,0.029694444,-0.095077516,0.074916533,0.00088176,,,
101,12313,-0.2,0.415966635,0.026611111,-0.615966635,-0.226611111,-0.096181988,0.379414895,0.051352596,,,
102,12314,-1.03,-0.064406127,0.03325,-0.965593873,-1.06325,-0.094182132,0.932371527,1.130500563,,,
103,12317,-0.64,0.507207205,0.038361111,-1.147207205,-0.678361111,-0.097598255,1.316084372,0.460173797,,,
104,12318,-0.72,-0.344860252,0.036194444,-0.375139748,-0.756194444,-0.09479219,0.14072983,0.571830038,,,
105,12319,-0.71,0.227309586,0.033166667,-0.937309586,-0.743166667,-0.095609189,0.878549261,0.552296694,,,
106,12320,-0.6,0.121791503,0.028333333,-0.721791503,-0.628333333,-0.095554766,0.520982974,0.394802778,,,
107,12321,-0.38,0.021679735,0.022666667,-0.401679735,-0.402666667,-0.09502454,0.161346609,0.162140444,,,
108,12324,-0.28,0.116229913,0.021777778,-0.396229913,-0.301777778,-0.094844729,0.156998144,0.091069827,,,
109,12325,1.03,-0.037717795,0.019805556,1.067717795,1.010194444,-0.094467929,1.140021291,1.020492816,,,
110,12326,-1.33,-0.142486074,0.019861111,-1.187513926,-1.349861111,-0.091317346,1.410189324,1.822125019,,,
111,12327,-1.19,0.039566588,0.016638889,-1.229566588,-1.206638889,-0.090504242,1.511833995,1.455977408,,,
112,12328,-0.26,-0.121997805,0.012027778,-0.138002195,-0.272027778,-0.089821479,0.019044606,0.073999112,,,
113,12331,-0.02,-0.173263275,0.011611111,0.153263275,-0.031611111,-0.089522613,0.023489632,0.000999262,,,
114,12332,-0.17,-0.050412606,0.009111111,-0.119587394,-0.179111111,-0.08903649,0.014301145,0.03208079,,,
115,12333,-0.2,0.616733537,0.006111111,-0.816733537,-0.206111111,-0.091375353,0.66705367,0.04248179,,,
116,12334,-0.52,-0.331307899,0.00775,-0.188692101,-0.52775,-0.089796302,0.035604709,0.278520063,,,
117,12335,0.13,-0.342942484,0.005222222,0.472942484,0.124777778,-0.09030993,0.223674593,0.015569494,,,
118,12338,-1.18,-0.23645529,0.010611111,-0.94354471,-1.190611111,-0.087041614,0.89027662,1.417554818,,,
119,12339,-2.41,-0.2114198,0.009555556,-2.1985802,-2.419555556,-0.080049992,4.833754896,5.854249086,,,
120,12340,1.12,0.205929304,-0.001277778,0.914070696,1.121277778,-0.077502963,0.835525237,1.257263855,,,
121,12341,-0.4,-0.111498855,0.008222222,-0.288501145,-0.408222222,-0.076777404,0.083232911,0.166645383,,,
122,12342,-1.35,0.385300911,0.007555556,-1.735300911,-1.357555556,-0.080617279,3.01126925,1.842957086,,,
123,12345,-0.77,-0.169684297,0.004055556,-0.600315703,-0.774055556,-0.079106902,0.360378944,0.599162003,,,
124,12346,0.82,0.46701024,0.001083333,0.35298976,0.818916667,-0.076349189,0.124601771,0.670624507,,,
125,12347,0.91,-0.220529756,0.000361111,1.130529756,0.909638889,-0.077576002,1.27809753,0.827442908,,,
