,Date,actural_return,historic_mean,predicted_return,f_err,r_err,RMSE_diff,se_lm,se_mean,,,,
50,378,0.71,-0.163555716,0.045647059,0.873555716,0.664352941,-0.124487641,0.763099589,0.44136483,,,,
51,379,0.35,0.859096896,0.047352941,-0.509096896,0.302647059,-0.125216124,0.25917965,0.091595242,,,,
52,382,-0.59,0.080501569,0.044088235,-0.670501569,-0.634088235,-0.123588373,0.449572354,0.40206789,,,,
53,383,0.58,0.161973863,0.039852941,0.418026137,0.540147059,-0.120209579,0.174745851,0.291758845,,,,
54,384,0.61,-0.210570986,0.0405,0.820570986,0.5695,-0.12265994,0.673336743,0.32433025,,,,
55,385,0.3,0.775133704,0.040735294,-0.475133704,0.259264706,-0.123322594,0.225752037,0.067218188,,,,
56,386,0.14,1.29658999,0.039147059,-1.15658999,0.100852941,-0.138138174,1.337700405,0.010171316,,,,
57,389,0.85,0.87204884,0.036970588,-0.02204884,0.813029412,-0.1274596,0.000486151,0.661016824,,,,
58,390,-0.97,-0.611941678,0.037470588,-0.358058322,-1.007470588,-0.113714413,0.128205762,1.014996986,,,,
59,391,1.05,-0.640002243,0.035705882,1.690002243,1.014294118,-0.131146251,2.856107581,1.028792557,,,,
60,392,0.17,0.242930922,0.039147059,-0.072930922,0.130852941,-0.129880431,0.005318919,0.017122492,,,,
61,393,1.52,0.35232859,0.040588235,1.16767141,1.479411765,-0.11540424,1.363456521,2.18865917,,,,
62,396,1.04,0.307031042,0.046323529,0.732968958,0.993676471,-0.10794734,0.537243493,0.987392928,,,,
63,397,0.18,-0.148860488,0.049823529,0.328860488,0.130176471,-0.108008441,0.10814922,0.016945913,,,,
64,398,0.46,1.203962029,0.051382353,-0.743962029,0.408617647,-0.110850886,0.553479501,0.166968381,,,,
65,399,0.07,0.115601657,0.051323529,-0.045601657,0.018676471,-0.110011885,0.002079511,0.000348811,,,,
66,400,0.01,0.135140973,0.050882353,-0.125140973,-0.040882353,-0.109313623,0.015660263,0.001671367,,,,
67,403,0.09,-0.621172973,0.049382353,0.711172973,0.040617647,-0.113525216,0.505766998,0.001649793,,,,
68,404,-0.1,-1.306431694,0.048264706,1.206431694,-0.148264706,-0.126671627,1.455477432,0.021982423,,,,
69,405,0.63,0.085053752,0.049205882,0.544946248,0.580794118,-0.124718204,0.296966413,0.337321807,,,,
70,406,0.95,-0.233873541,0.050764706,1.183873541,0.899235294,-0.127896796,1.401556561,0.808624114,,,,
71,407,-0.21,0.34485099,0.051176471,-0.55485099,-0.261176471,-0.129085886,0.307859621,0.068213149,,,,
72,411,-0.28,-0.182763952,0.047617647,-0.097236048,-0.327617647,-0.127086954,0.009454849,0.107333323,,,,
73,412,-1.15,-0.833346337,0.041794118,-0.316653663,-1.191794118,-0.11174211,0.100269542,1.420373219,,,,
74,413,-0.54,0.120120939,0.036735294,-0.660120939,-0.576735294,-0.111391729,0.435759654,0.332623599,,,,
75,414,-0.98,-0.815067117,0.029794118,-0.164932883,-1.009794118,-0.100271998,0.027202856,1.01968416,,,,
76,417,0.31,-0.036515095,0.027676471,0.346515095,0.282323529,-0.099858388,0.120072711,0.079706575,,,,
77,418,0.72,0.041479319,0.028882353,0.678520681,0.691117647,-0.098408769,0.460390314,0.477643602,,,,
78,419,0.13,-0.065364256,0.028117647,0.195364256,0.101882353,-0.098003891,0.038167193,0.010380014,,,,
79,420,-0.11,0.072716273,0.023088235,-0.182716273,-0.133088235,-0.09749361,0.033385236,0.017712478,,,,
80,421,0.26,-0.704533763,0.0225,0.964533763,0.2375,-0.104270112,0.930325381,0.05640625,,,,
81,424,0.17,-0.789717732,0.019941176,0.959717732,0.150058824,-0.111138314,0.921058126,0.022517651,,,,
82,425,0.19,-0.455029951,0.020235294,0.645029951,0.169764706,-0.113623542,0.416063638,0.028820055,,,,
83,426,1.14,-0.20186676,0.022176471,1.34186676,1.117823529,-0.115565492,1.800606401,1.249529443,,,,
84,427,1.33,0.263537399,0.028294118,1.066462601,1.301705882,-0.108081479,1.13734248,1.694438204,,,,
85,428,0.22,0.325615348,0.031705882,-0.105615348,0.188294118,-0.10720609,0.011154602,0.035454675,,,,
86,431,0.5,0.332117434,0.032470588,0.167882566,0.467529412,-0.104810192,0.028184556,0.218583751,,,,
87,432,0.4,1.025897745,0.034264706,-0.625897745,0.365735294,-0.106034812,0.391747987,0.133762305,,,,
88,433,-0.18,0.491205861,0.036,-0.671205861,-0.216,-0.108469686,0.450517307,0.046656,,,,
89,434,-0.04,-0.088489578,0.034882353,0.048489578,-0.074882353,-0.107826485,0.002351239,0.005607367,,,,
90,435,0.72,-0.075246587,0.032617647,0.795246587,0.687382353,-0.107822759,0.632417133,0.472494499,,,,
91,438,0.09,0.617916904,0.032558824,-0.527916904,0.057441176,-0.109281694,0.278696257,0.003299489,,,,
92,439,-0.43,0.083688773,0.032882353,-0.513688773,-0.462882353,-0.108777496,0.263876156,0.214260073,,,,
93,440,-0.11,0.297702477,0.031852941,-0.407702477,-0.141852941,-0.109239538,0.16622131,0.020122257,,,,
94,441,-0.02,-0.253793124,0.031117647,0.233793124,-0.051117647,-0.109033808,0.054659225,0.002613014,,,,
95,442,-0.33,-0.344631286,0.034294118,0.014631286,-0.364294118,-0.107327076,0.000214075,0.132710204,,,,
96,445,-0.22,-0.248596946,0.033235294,0.028596946,-0.253235294,-0.106228685,0.000817785,0.064128114,,,,
97,446,-0.62,-1.178331114,0.034705882,0.558331114,-0.654705882,-0.104313448,0.311733633,0.428639792,,,,
98,447,-0.2,0.014956667,0.032676471,-0.214956667,-0.232676471,-0.103657904,0.046206369,0.05413834,,,,
99,448,0.18,-0.031699177,0.033823529,0.211699177,0.146176471,-0.103273635,0.044816542,0.021367561,,,,
100,449,0.33,0.180180345,0.038352941,0.149819655,0.291647059,-0.102213074,0.022445929,0.085058007,,,,
101,452,0.32,0.723584034,0.041764706,-0.403584034,0.278235294,-0.102213384,0.162880073,0.077414879,,,,
102,453,-0.16,0.007726658,0.045117647,-0.167726658,-0.205117647,-0.10156441,0.028132232,0.042073249,,,,
103,454,0.12,0.555442829,0.043823529,-0.435442829,0.076176471,-0.102336795,0.189610457,0.005802855,,,,
104,455,0.23,0.099769846,0.040647059,0.130230154,0.189352941,-0.101671316,0.016959893,0.035854536,,,,
105,456,0.34,-0.362053608,0.038382353,0.702053608,0.301617647,-0.103826753,0.492879268,0.090973205,,,,
106,459,-0.21,0.16708633,0.040647059,-0.37708633,-0.250647059,-0.103799709,0.1421941,0.062823948,,,,
107,460,0.57,0.644597856,0.04,-0.074597856,0.53,-0.101127465,0.00556484,0.2809,,,,
108,461,0.37,0.042765462,0.043882353,0.327234538,0.326117647,-0.100541179,0.107082443,0.10635272,,,,
109,462,0.99,-0.389415497,0.044058824,1.379415497,0.945941176,-0.105717095,1.902787114,0.894804709,,,,
110,466,0.14,-0.164320094,0.048852941,0.304320094,0.091147059,-0.105775892,0.09261072,0.008307786,,,,
111,467,0.5,0.039363216,0.052735294,0.460636784,0.447264706,-0.105145367,0.212186247,0.200045717,,,,
112,468,0.28,0.724000428,0.053323529,-0.444000428,0.226676471,-0.10555509,0.19713638,0.051382222,,,,
113,469,-0.05,0.339241905,0.054205882,-0.389241905,-0.104205882,-0.105975497,0.15150926,0.010858866,,,,
114,470,0.44,0.258002074,0.05,0.181997926,0.39,-0.104576884,0.033123245,0.1521,,,,
115,473,-0.26,0.391068065,0.050911765,-0.651068065,-0.310911765,-0.106082435,0.423889625,0.096666125,,,,
