"","Date","actural_return","predicted_return","historic_mean","f_err","r_err","RMSE_rf","se_rf","se_mean","RMSE_diff"
"1",12655,-1.72,0.661180392156863,0.188388888888889,-2.38118039215686,-1.90838888888889,2.38118039215686,5.67002005999231,3.64194815123457,-0.472791503267974
"2",12656,-1.51,0.00860431235431233,0.186925207756233,-1.51860431235431,-1.69692520775623,1.99702016983973,2.30615905750111,2.87955516071853,-0.191265021438778
"3",12657,0.43,-0.336875072463768,0.177479224376731,0.766875072463768,0.252520775623269,1.68960315796932,0.58809737676631,0.0637667421213772,-0.208019539665981
"4",12660,-0.31,0.255199532163743,0.18606648199446,-0.565199532163743,-0.49606648199446,1.4902790850557,0.319450511158114,0.24608195455836,-0.183436323986793
"5",12661,0.33,0.12604165060327,0.183157894736842,0.20395834939673,0.146842105263158,1.33606332287856,0.0415990082886387,0.0215626038781164,-0.165344346137261
"6",12662,-0.91,-0.175097094017094,0.188725761772853,-0.734902905982906,-1.09872576177285,1.25601275835668,0.54008228122212,1.20719829958334,-0.0969820633292773
"7",12663,0.02,0.0180728213166145,0.190609418282548,0.00192717868338555,-0.170609418282548,1.16284208539412,3.71401767769565e-06,0.0291075736067096,-0.0878523521739807
"8",12664,0.57,-0.158033333333333,0.190221606648199,0.728033333333333,0.379778393351801,1.11777930197505,0.530032534444444,0.144231628056875,-0.10329346460731
"9",12668,-0.25,0.529627356321839,0.186814404432133,-0.779627356321839,-0.436814404432133,1.08542174896397,0.60781881472538,0.190806823919399,-0.117935950177743
"10",12669,0.06,0.356976464237517,0.189639889196676,-0.296976464237517,-0.129639889196676,1.03399508598577,0.0881950203110172,0.0168065008709264,-0.115242375048367
"11",12670,0.91,-0.63505850522027,0.186786703601108,1.54505850522027,0.723213296398892,1.09039876621439,2.38720578455349,0.523037472088152,-0.18767043143062
"12",12671,-1.28,-0.41151021978022,0.191772853185596,-0.86848978021978,-1.4717728531856,1.07365957754025,0.754274498346202,2.16611533137407,-0.110582121239768
"13",12674,0.37,-0.503339393939394,0.188421052631579,0.873339393939394,0.181578947368421,1.05959572691059,0.762721697006428,0.0329709141274238,-0.132931355002153
"14",12675,0.49,0.580994708994709,0.196398891966759,-0.090994708994709,0.293601108033241,1.02134156856132,0.00828003706503177,0.0862016106383469,-0.124944384321779
"15",12676,1.65,0.275604194655919,0.199196675900277,1.37439580534408,1.45080332409972,1.0485833053902,1.8889638297474,2.10483028521881,-0.105036060432998
"16",12677,0.52,-0.378307936507936,0.199279778393352,0.898307936507936,0.320720221606648,1.03982755102525,0.806957148793147,0.102861460547418,-0.122730142330899
"17",12678,0.78,-0.84029712799278,0.199196675900277,1.62029712799278,0.580803324099723,1.08262274557235,2.62536278298165,0.337332501285288,-0.181825222660581
"18",12681,0.23,0.154047619047619,0.197396121883657,0.075952380952381,0.0326038781163435,1.05227248586341,0.00576876417233561,0.00106301286822538,-0.176820918997741
"19",12682,0.42,0.185215375429169,0.193490304709141,0.234784624570831,0.226509695290859,1.02562219218712,0.0551238199348663,0.0513066420607577,-0.171937156321507
"20",12683,0.72,0.217167962612101,0.192326869806094,0.502832037387899,0.527673130193906,1.00595618191975,0.252840057823666,0.278438932328635,-0.165562714516379
"21",12684,0.1,0.15739010989011,0.191052631578947,-0.0573901098901098,-0.0910526315789474,0.981792588501465,0.00329362471319888,0.00829058171745152,-0.161411893399874
"22",12685,1.09,-0.075632275132275,0.186592797783934,1.16563227513228,0.903407202216067,0.990889155905272,1.35869860083004,0.816144573015861,-0.166553093703514
"23",12688,0.29,0.0957271209835916,0.187479224376731,0.194272879016408,0.102520775623269,0.969954973762586,0.0377419515213241,0.0105105094343966,-0.163455040738706
"24",12689,0.37,0.504192207792208,0.18792243767313,-0.134192207792208,0.18207756232687,0.949927596463455,0.0180075486321471,0.0331522387028952,-0.159534194838987
"25",12690,0.29,-0.138015384615385,0.18814404432133,0.428015384615385,0.10185595567867,0.934663483699144,0.183197169467456,0.0103746357072153,-0.159971386420151
"26",12691,1.07,0.227709776578198,0.188448753462604,0.842290223421802,0.881551246537396,0.931280105646306,0.70945282047195,0.777132600271637,-0.152206969454361
"27",12692,0.8,0.342642863273716,0.192825484764543,0.457357136726284,0.607174515235457,0.918100375070055,0.209175550514465,0.368660891951412,-0.144712215330449
"28",12695,0.82,0.224316666666667,0.192603878116343,0.595683333333333,0.627396121883656,0.908557779800592,0.354838633611111,0.393625893754652,-0.139906002669248
"29",12696,-0.36,-0.175233630421866,0.19797783933518,-0.184766369578134,-0.55797783933518,0.893414629577311,0.0341386113270837,0.311339269189156,-0.131057694557075
"30",12697,1.43,-0.973542735042735,0.194487534626039,2.40354273504273,1.23551246537396,0.981911723613972,5.77701767917671,1.52649105209444,-0.199161319655289
"31",12698,0.35,-0.180906596327649,0.196315789473684,0.530906596327649,0.153684210526316,0.970639642828561,0.281861814024209,0.0236188365650969,-0.200123169966835
"32",12699,-0.99,0.268638230884558,0.1901108033241,-1.25863823088456,-1.1801108033241,0.980920342704131,1.58417019624421,1.39266150812225,-0.194368806892352
"33",12702,0.69,0.61362614379085,0.185180055401662,0.0763738562091503,0.504819944598338,0.966035070028085,0.00583296591225596,0.254843176464269,-0.186523385895464
"34",12703,0.41,0.293462675255779,0.184570637119114,0.116537324744221,0.225429362880886,0.951932475876372,0.0135809480585401,0.0508183976488824,-0.182997234861718
"35",12704,1.33,1.56137777777778,0.182271468144044,-0.231377777777777,1.14772853185596,0.939049680557126,0.0535356760493826,1.31728078283623,-0.156742314061593
