"","Date","actural_return","predicted_return","historic_mean","f_err","r_err","RMSE_rf","se_rf","se_mean","RMSE_diff"
"1",12170,-0.04,0.342563168139285,0.0636388888888889,-0.382563168139285,-0.103638888888889,0.382563168139285,0.146354577616767,0.0107410192901235,-0.278924279250396
"2",12171,-0.03,0.121283417375221,0.0657340720221607,-0.151283417375221,-0.0957340720221607,0.290896244380614,0.0228866723727252,0.00916501254594424,-0.191131441378584
"3",12172,-0.99,0.531858981519733,0.0631301939058172,-1.52185898151973,-1.05313019390582,0.910182401064346,2.31605475963228,1.1090832053161,-0.296725193333121
"4",12173,0.05,-0.128343038423526,0.0659556786703601,0.178343038423527,-0.0159556786703601,0.793268909162572,0.0318062393541355,0.000254583681831784,-0.26193948666792
"5",12174,-1.19,-0.317975002866644,0.0668698060941828,-0.872024997133356,-1.25686980609418,0.809633231111636,0.76042759562543,1.57972170947123,-0.0735672652763404
"6",12177,-0.15,0.00607353852109946,0.069584487534626,-0.156073538521099,-0.219584487534626,0.741832055794733,0.0243589494264971,0.0482173471658443,-0.0639452808990183
"7",12178,0.39,0.0962939246661823,0.0730747922437673,0.293706075333818,0.316925207756233,0.695716696519889,0.0862632586879942,0.100441587311331,-0.0567862884178116
"8",12179,-1.12,0.0258832863932406,0.07398891966759,-1.14588328639324,-1.19398891966759,0.766583374359176,1.31304850603537,1.42560954028898,-0.0348701445799657
"9",12180,1.62,0.0827303229079627,0.0731301939058172,1.53726967709204,1.54686980609418,0.885964547751825,2.36319806010666,2.39280619700586,-0.0246967353524242
"10",12181,1.14,0.272741109238614,0.0681440443213296,0.867258890761386,1.07185595567867,0.884111791713159,0.75213798360467,1.14887518972384,0.000473726583465117
"11",12184,-0.33,0.406511624195206,0.0642936288088643,-0.736511624195206,-0.394293628808864,0.871726915904558,0.542449372574661,0.155467465719262,-0.019970289465017
"12",12185,0.45,-0.0765565512698198,0.0625484764542936,0.52655655126982,0.387451523545706,0.848343865850908,0.277261801685166,0.150118683097889,-0.0252145958990253
"13",12186,0.04,0.209306043056043,0.06601108033241,-0.169306043056043,-0.02601108033241,0.816413936909347,0.0286645362152947,0.000676576300059085,-0.0255440109651718
"14",12187,-0.06,0.204054625672578,0.069196675900277,-0.264054625672578,-0.129196675900277,0.789875087695912,0.0697248453390855,0.0166917810636812,-0.0269919334719426
"15",12188,1.19,0.226047362527031,0.0674792243767313,0.963952637472969,1.12252077562327,0.802655669037387,0.929204687291093,1.26005289170586,-0.0106993238731755
"16",12191,0.95,-0.412992630190762,0.0721052631578947,1.36299263019076,0.877894736842105,0.848586720506593,1.85774890995433,0.770699168975069,-0.0509879037970702
"17",12192,-0.36,-0.160928671328671,0.0697506925207756,-0.199071328671329,-0.429750692520776,0.824664643049137,0.0396293938989682,0.184685657722086,-0.0438917372848632
"18",12193,0.22,0.127746899692366,0.0699445983379501,0.0922531003076338,0.15005540166205,0.801724903773022,0.00851063451637034,0.0225166235679591,-0.0421261705243798
"19",12194,0.21,-0.0883350038292649,0.0670637119113573,0.298335003829265,0.142936288088643,0.783337480489305,0.0890037745098075,0.0204307824525595,-0.0432715153495853
"20",12195,1,-0.149223374476832,0.0670637119113573,1.14922337447683,0.932936288088643,0.805588260927728,1.32071436444392,0.870370117632615,-0.0547012807490156
"21",12199,0.18,0.239096018934337,0.070415512465374,-0.0590960189343366,0.109584487534626,0.786279402125549,0.00349233945388747,0.0120087599082266,-0.0530986636745576
"22",12200,-0.34,0.137102563726588,0.0754847645429363,-0.477102563726588,-0.415484764542936,0.774906684078787,0.227626856314483,0.172627589567299,-0.0531266404771862
"23",12201,1.82,0.279178347379013,0.0812465373961219,1.54082165262099,1.73875346260388,0.823161970533383,2.37413136518567,3.02326360371698,-0.0295865421239319
"24",12202,0.99,0.239949749373434,0.0784487534626039,0.750050250626566,0.911551246537396,0.820245767598301,0.562575378464975,0.830925675063881,-0.0214067462602905
"25",12205,-0.27,0.474640453441746,0.089196675900277,-0.744640453441746,-0.359196675900277,0.817355840921496,0.554489404901929,0.129022251977809,-0.0313667056207008
"26",12206,1.74,0.123340171239882,0.0840443213296399,1.61665982876012,1.65595567867036,0.861915426627919,2.61358900192669,2.74218920972061,-0.0255620271334933
"27",12207,0.36,-0.0134773717567835,0.0859279778393352,0.373477371756784,0.274072022160665,0.848851917818092,0.139485347214355,0.075115473331236,-0.0264395290737623
"28",12208,0.55,0.16613220788874,0.085983379501385,0.38386779211126,0.464016620498615,0.836706833326208,0.147354481820374,0.215311424098956,-0.0243669781762154
"29",12209,-1.34,-0.0391329661950351,0.0869806094182825,-1.30086703380497,-1.42698060941828,0.856907996868414,1.69225503964053,2.03627365965577,-0.0158626131432085
"30",12212,1.46,0.114507183908046,0.0810249307479224,1.34549281609195,1.37897506925208,0.877587584536328,1.81035091815506,1.90157224161877,-0.0132008071290208
"31",12213,-0.39,-0.0632090569561158,0.0713850415512465,-0.326790943043884,-0.461385041551247,0.865309778138865,0.106792320455511,0.212876156567246,-0.0109507241849307
"32",12214,-0.31,0.301861383232895,0.0760941828254848,-0.611861383232895,-0.386094182825485,0.85852281799751,0.374374352291671,0.149068718011679,-0.0148537495960468
"33",12215,-0.18,0.223102674263093,0.0677008310249307,-0.403102674263093,-0.247700831024931,0.848322006735979,0.162491765998057,0.0613557016904413,-0.0164159149172799
"34",12216,0.92,-0.373751937451014,0.0671468144044321,1.29375193745101,0.852853185595568,0.864704158357961,1.67379407565825,0.727358556180508,-0.0321744528086714
