,Date,actural_return,historic_mean,predicted_return,f_err,r_err,RMSE_diff,se_lm,se_mean,,,
49,12240,-0.25,0.242811527,0.180583333,-0.492811527,-0.430583333,-0.085813305,0.242863201,0.185402007,,,
50,12241,1.8,0.331602419,0.177861111,1.468397581,1.622138889,-0.07618798,2.156191457,2.631334575,,,
51,12242,-0.46,-0.330984694,0.181777778,-0.129015306,-0.641777778,-0.070489471,0.016644949,0.411878716,,,
52,12243,-0.55,0.107013989,0.182194444,-0.657013989,-0.732194444,-0.068099945,0.431667382,0.536108704,,,
53,12244,-0.5,0.44800202,0.183305556,-0.94800202,-0.683305556,-0.071773756,0.89870783,0.466906482,,,
54,12247,2.51,0.173205953,0.180138889,2.336794047,2.329861111,-0.06657916,5.46060642,5.428252797,,,
55,12248,3.35,0.382907049,0.191,2.967092951,3.159,-0.048382236,8.803640579,9.979281,,,
56,12249,1.21,0.363256371,0.196555556,0.846743629,1.013444444,-0.044652092,0.716974773,1.027069642,,,
57,12250,-0.24,-0.109467056,0.199083333,-0.130532944,-0.439083333,-0.042592786,0.017038849,0.192794174,,,
58,12251,0.2,0.232723428,0.196111111,-0.032723428,0.003888889,-0.04223344,0.001070823,1.51E-05,,,
59,12254,0.44,-0.273037835,0.194888889,0.713037835,0.245111111,-0.045812192,0.508422954,0.060079457,,,
60,12255,-0.51,0.105590581,0.194833333,-0.615590581,-0.704833333,-0.044186316,0.378951763,0.496790028,,,
61,12256,0.43,0.11790069,0.190611111,0.31209931,0.239388889,-0.044145031,0.09740598,0.05730704,,,
62,12257,-2.06,0.413277686,0.190444444,-2.473277686,-2.250444444,-0.050404061,6.117102514,5.064500198,,,
63,12258,-1,0.332317651,0.176722222,-1.332317651,-1.176722222,-0.052522862,1.775070324,1.384675188,,,
64,12261,0.27,0.317979572,0.175388889,-0.047979572,0.094611111,-0.052054572,0.002302039,0.008951262,,,
65,12262,0.73,0.139257226,0.17925,0.590742774,0.55075,-0.051877753,0.348977025,0.303325563,,,
66,12263,-0.46,0.360217006,0.181888889,-0.820217006,-0.641888889,-0.053317089,0.672755937,0.412021346,,,
67,12264,-2.21,0.87750118,0.17925,-3.08750118,-2.38925,-0.078213148,9.532663536,5.708515563,,,
68,12265,-0.22,0.013704398,0.175,-0.233704398,-0.395,-0.076829689,0.054617746,0.156025,,,
69,12268,0.58,-0.096970134,0.172611111,0.676970134,0.407388889,-0.078226813,0.458288562,0.165965707,,,
70,12269,1.04,-0.039198768,0.1695,1.079198768,0.8705,-0.080049226,1.16466998,0.75777025,,,
71,12270,0.77,-0.365441229,0.168972222,1.135441229,0.601027778,-0.08559788,1.289226783,0.36123439,,,
