,Date,actural_return,historic_mean,predicted_return,f_err,r_err,RMSE_diff,se_lm,se_mean,,,
50,12241,-0.58,0.801621502,0.125027778,-1.381621502,-0.705027778,-0.118599464,1.908877975,0.497064167,,,
51,12242,-0.06,-0.477203963,0.124916667,0.417203963,-0.184916667,-0.118881013,0.174059146,0.034194174,,,
52,12243,-1.17,0.331588322,0.124361111,-1.501588322,-1.294361111,-0.121177364,2.25476749,1.675370686,,,
53,12244,0.66,0.637919852,0.130694444,0.022080148,0.529305556,-0.116729294,0.000487533,0.280164371,,,
54,12247,0.67,-0.115565813,0.128583333,0.785565813,0.541416667,-0.118492319,0.617113646,0.293132007,,,
55,12248,0.18,0.06670417,0.133416667,0.11329583,0.046583333,-0.117513773,0.012835945,0.002170007,,,
56,12249,-0.05,1.288393895,0.131388889,-1.338393895,-0.181388889,-0.133691778,1.791298219,0.032901929,,,
57,12250,1.38,-0.512321839,0.1305,1.892321839,1.2495,-0.148993864,3.580881944,1.56125025,,,
58,12251,0.92,-0.290039703,0.135055556,1.210039703,0.784944444,-0.154390604,1.464196082,0.616137781,,,
59,12254,0.2,0.554443089,0.135111111,-0.354443089,0.064888889,-0.154162997,0.125629903,0.004210568,,,
60,12255,0.2,-0.150199119,0.132805556,0.350199119,0.067194444,-0.153918933,0.122639423,0.004515093,,,
61,12256,-0.85,0.51401674,0.131222222,-1.36401674,-0.981222222,-0.158835301,1.860541666,0.962797049,,,
62,12257,-2.87,0.678775221,0.131472222,-3.548775221,-3.001472222,-0.172085074,12.59380557,9.008835501,,,
63,12258,-1.51,0.069969641,0.117388889,-1.579969641,-1.627388889,-0.165651339,2.496304067,2.648394596,,,
64,12261,-0.2,-0.141357869,0.114222222,-0.058642131,-0.314222222,-0.163498405,0.0034389,0.098735605,,,
65,12262,-0.39,0.353971302,0.11375,-0.743971302,-0.50375,-0.164110476,0.553493299,0.253764063,,,
66,12263,-0.03,0.746487023,0.115416667,-0.776487023,-0.145416667,-0.167106177,0.602932097,0.021146007,,,
67,12264,-1.72,0.378449393,0.120638889,-2.098449393,-1.840638889,-0.168489951,4.403489855,3.387951519,,,
68,12265,0.35,-0.233303726,0.116694444,0.583303726,0.233305556,-0.169173821,0.340243237,0.054431482,,,
69,12268,-0.44,0.02722414,0.118472222,-0.46722414,-0.558472222,-0.166882022,0.218298397,0.311891223,,,
70,12269,0.81,-0.028830473,0.115416667,0.838830473,0.694583333,-0.166574854,0.703636563,0.482446007,,,
71,12270,0.85,-0.379937204,0.114444444,1.229937204,0.735555556,-0.171265402,1.512745525,0.541041975,,,
72,12271,-1.75,-0.239421768,0.116388889,-1.510578232,-1.866388889,-0.157802058,2.281846594,3.483407485,,,
73,12272,-0.58,0.041104122,0.107805556,-0.621104122,-0.687805556,-0.15560539,0.38577033,0.473076482,,,
74,12275,-0.84,-0.49422401,0.106111111,-0.34577599,-0.946111111,-0.148536689,0.119561035,0.895126235,,,
75,12276,-2.04,0.280871633,0.100638889,-2.320871633,-2.140638889,-0.14789967,5.386445135,4.582334853,,,
76,12277,-0.03,-0.511923265,0.091,0.481923265,-0.121,-0.148254823,0.232250033,0.014641,,,
77,12278,1.17,-0.151901856,0.090555556,1.321901856,1.079444444,-0.149690113,1.747424516,1.165200309,,,
