"","Date","actural_return","predicted_return","historic_mean","f_err","r_err","RMSE_svm","se_svm","se_mean","RMSE_diff"
"1",12697,-2.15,0.246479042840739,0.184444444444444,-2.39647904284074,-2.33444444444444,2.39647904284074,5.74311180277486,5.44963086419753,-0.062034598396294
"2",12698,-0.87,0.237320136737538,0.17797783933518,-1.10732013673754,-1.04797783933518,1.86671766585085,1.22615788522444,1.09825755173763,-0.0573132865128381
"3",12699,0.8,0.232209322530485,0.172465373961219,0.567790677469515,0.627534626038781,1.55902276457835,0.322386253421291,0.393799706877633,-0.0378731858262835
"4",12702,-0.88,0.234024158897773,0.173130193905817,-1.11402415889777,-1.05313019390582,1.46053977761892,1.24104982660789,1.1090832053161,-0.0418457189747636
"5",12703,-1.43,0.231240886484739,0.17016620498615,-1.66124088648474,-1.60016620498615,1.50282580833289,2.7597212829286,2.56053188357978,-0.046027729551303
"6",12704,-0.87,0.220441061716164,0.166897506925208,-1.09044106171616,-1.03689750692521,1.44230653006644,1.18906170907668,1.07515643986771,-0.046690796684671
"7",12705,0.29,0.21290348742312,0.16005540166205,0.0770965125768797,0.12994459833795,1.33563428657298,0.00594387225151698,0.0168855986372112,-0.0426120654506139
"8",12706,1.01,0.211231226362202,0.157673130193906,0.798768773637798,0.852326869806094,1.28089149550343,0.638031553738832,0.726461092993455,-0.0344061193754621
"9",12709,-1.16,0.208784129939796,0.158421052631579,-1.3687841299398,-1.31842105263158,1.29095288580865,1.87356999437504,1.73823407202216,-0.0362709688260057
"10",12710,0.78,0.198158960598581,0.150692520775623,0.581841039401419,0.629307479224377,1.2384495619738,0.338538995131724,0.396027903407739,-0.0316327441162989
"11",12711,-0.13,0.201978922534828,0.147340720221607,-0.331978922534828,-0.277340720221607,1.18505017847494,0.110210005007385,0.0769178750930395,-0.0313609894450031
"12",12712,-0.9,0.202109740946811,0.148005540166205,-1.10210974094681,-1.0480055401662,1.17836147049014,1.21464588108985,1.09831561221906,-0.0331067024017917
"13",12713,-0.54,0.196672500019995,0.14595567867036,-0.736672500019995,-0.68595567867036,1.15042184349628,0.542686372285709,0.470535193100114,-0.0337703587489548
"14",12716,0.98,0.192182622015597,0.142797783933518,0.787817377984403,0.837202216066482,1.12839239802752,0.62065622105422,0.700907550586628,-0.029342660766283
"15",12717,1.73,0.189739075799738,0.143407202216066,1.54026092420026,1.58659279778393,1.16040726671246,2.37240371461825,2.51727670597985,-0.0223381049120712
"16",12718,0.46,0.189834130081177,0.143213296398892,0.270165869918823,0.316786703601108,1.12558776220624,0.0729895972689946,0.100353815578456,-0.0208147348609724
"17",12719,-0.06,0.187093999976708,0.138975069252078,-0.247093999976708,-0.198975069252078,1.0936237768963,0.0610554448244891,0.0395910781838691,-0.0207506099672581
"18",12720,0.23,0.18206691625002,0.125872576177285,0.0479330837499799,0.104127423822715,1.06287132053272,0.00229758051778259,0.0108425203919553,-0.019937193770637
"19",12723,-1.02,0.181481325334735,0.122742382271468,-1.20148132533473,-1.14274238227147,1.07061407286526,1.44355737512811,1.30586015223947,-0.0221899717042693
"20",12724,1.47,0.171494910907397,0.118698060941828,1.2985050890926,1.35130193905817,1.08314797774185,1.68611546639939,1.82601693050238,-0.0175334660043291
"21",12725,-0.13,0.171195028364363,0.116288088642659,-0.301195028364363,-0.246288088642659,1.05908561816846,0.0907184451114091,0.0606578226072544,-0.0177644889997028
"22",12726,1.12,0.169400027672277,0.111551246537396,0.950599972327723,1.0084487534626,1.05439663026745,0.903640307389469,1.01696888836028,-0.0145471555076926
"23",12727,-0.04,0.168342549500411,0.113185595567867,-0.208342549500411,-0.153185595567867,1.03213489605722,0.0434066179323311,0.0234658266894821,-0.0146405676857044
"24",12730,0.59,0.1643722025992,0.104875346260388,0.4256277974008,0.485124653739612,1.01413171453216,0.181159021920257,0.235345929665979,-0.0131504414007482
"25",12731,0.61,0.162197686900104,0.0947645429362881,0.447802313099896,0.515235457063712,0.997670128603561,0.200526911617618,0.265467576215652,-0.0115141207417129
"26",12732,0.8,0.161595849797473,0.0934072022160665,0.638404150202527,0.706592797783934,0.98627508248678,0.40755985899581,0.499273381880127,-0.00939100193091302
"27",12733,0.22,0.158690930713187,0.0935457063711911,0.0613090692868132,0.126454293628809,0.967910326399453,0.00375880197681526,0.015990688377161,-0.00897851585677589
"28",12734,0.1,0.154035821758962,0.0897506925207756,-0.0540358217589618,0.0102493074792244,0.950523928245852,0.00291987003316629,0.000105048303803685,-0.00886959155560263
"29",12737,-0.5,0.148987696730402,0.0831024930747922,-0.648987696730402,-0.583102493074792,0.941734747397321,0.421185030507432,0.340008517430038,-0.010144164094771
"30",12738,0.55,0.152121325672672,0.0772299168975069,0.397878674327329,0.472770083102493,0.928751368571335,0.158307439484472,0.223511551476738,-0.00876077109187734
"31",12739,0.18,0.148293616249385,0.0820775623268698,0.0317063837506149,0.0979224376731302,0.913666460520192,0.00100529477054125,0.00958880379984807,-0.00846518567685417
"32",12740,-0.88,0.15041338849178,0.0781994459833795,-1.03041338849178,-0.958199445983379,0.917539682122923,1.06175175118311,0.918146178282855,-0.0106353327425533
"33",12741,0.24,0.151912844993438,0.0770083102493075,0.0880871550065617,0.162991689750693,0.903660728966632,0.00775934687715002,0.026566290927786,-0.0101524536403035
"34",12744,0.01,0.158111893750837,0.0821606648199446,-0.148111893750837,-0.0721606648199446,0.890634715255083,0.0219371330704591,0.00520716154725639,-0.01027734433595
"35",12745,0.53,0.158424706177843,0.0899168975069252,0.371575293822157,0.440083102493075,0.88006322603345,0.138068198979023,0.19367313709993,-0.00919071518706638
"36",12746,0.76,0.165149191387506,0.0915512465373961,0.594850808612494,0.668448753462604,0.873399207885824,0.353847484506938,0.446823736005709,-0.00751035353534812
"37",12748,0.67,0.165578257024149,0.0985041551246537,0.504421742975851,0.571495844875346,0.865497570419371,0.254441294786796,0.326607500709786,-0.00623808735252118
"38",12751,0.23,0.167632858614495,0.0985318559556787,0.0623671413855048,0.131468144044321,0.854093445263401,0.00388966032459954,0.0172838728984584,-0.00594720562647355
"39",12752,1.22,0.16417039161278,0.0992797783933518,1.05582960838722,1.12072022160665,0.859857612916672,1.11477616194711,1.25601381511805,-0.00363766334242754
"40",12753,1.04,0.170647657531817,0.0996398891966759,0.869352342468183,0.940360110803324,0.860096258573633,0.755773495354917,0.88427713799004,-0.00167228672321329
"41",12754,0.3,0.174903023088167,0.103905817174515,0.125096976911833,0.196094182825485,0.849767144778239,0.0156492536324796,0.0384529285379946,-0.00132349721889424
"42",12755,-0.07,0.175218280132048,0.105235457063712,-0.245218280132048,-0.175235457063712,0.840442120312958,0.0601320049109198,0.030707465412328,-0.00172386618591602
"43",12758,-1.62,0.169833290615375,0.105069252077562,-1.78983329061538,-1.72506925207756,0.874309128281362,3.20350320819506,2.97586392446344,-0.00465679282460585
"44",12759,0.82,0.164226238143973,0.0950969529085873,0.655773761856027,0.724903047091413,0.869952279960487,0.430039226738805,0.525484427682415,-0.00332116723413023
"45",12760,0.43,0.161513562153581,0.0965927977839335,0.268486437846419,0.333407202216066,0.861162413656735,0.0720849673074592,0.111160362489545,-0.0027745483795083
"46",12761,0.45,0.157615894493795,0.0937119113573407,0.292384105506205,0.356288088642659,0.852840778330458,0.0854884651526633,0.126941202108639,-0.00221084642331193
"47",12762,1.44,0.15632584931544,0.091218836565097,1.28367415068456,1.3487811634349,0.86424655922933,1.64781932513573,1.81921062683681,-2.27707934334909e-05
"48",12765,0.88,0.164891101625684,0.0931301939058172,0.715108898374316,0.786869806094183,0.861402927256143,0.511380736534128,0.619164091742697,0.00128006839332895
"49",12766,0.19,0.162880823850337,0.0976731301939058,0.0271191761496633,0.0923268698060942,0.852576594174996,0.000735449715036467,0.00852425088819147,0.00136000312325046
"50",12767,-0.01,0.161575368864651,0.0944321329639889,-0.171575368864651,-0.104432132963989,0.844356485200627,0.029438107201041,0.0109060703954083,0.00112661892926058
"51",12768,0.41,0.163666261257815,0.092797783933518,0.246333738742185,0.317202216066482,0.8367487735963,0.0606803108427032,0.100617245877487,0.00158174775320752
"52",12769,-1.19,0.16898161021707,0.0952354570637119,-1.35898161021707,-1.28523545706371,0.849823568032808,1.84683101690818,1.65183018009377,-0.000677714446951971
"53",12772,0.19,0.169935348645404,0.0946814404432133,0.0200646513545962,0.0953185595567867,0.841772698479649,0.0004025902339815,0.0090856277959807,-0.000573901812870758
"54",12773,1.05,0.169934583170356,0.103462603878116,0.880065416829644,0.946537396121884,0.842497639967045,0.774515137899536,0.895933042257196,0.00077146237920489
"55",12774,0.32,0.178394710075892,0.10617728531856,0.141605289924108,0.21382271468144,0.835021772378494,0.0200520581344906,0.0457201533137407,0.00104336446838682
"56",12775,-0.44,0.175881088797316,0.110027700831025,-0.615881088797316,-0.550027700831025,0.83161508453833,0.379309515538167,0.302530471681463,0.000205215954544147
"57",12779,1.28,0.173629746087388,0.106315789473684,1.10637025391261,1.17368421052632,0.837212788912025,1.22405513874266,1.37753462603878,0.00180643086149512
"58",12780,-0.01,0.182045225377864,0.109362880886427,-0.192045225377864,-0.119362880886427,0.830347048776718,0.0368813685904347,0.0142474973335073,0.00155545310394067
"59",12781,0.74,0.181159540764195,0.111745152354571,0.558840459235805,0.628254847645429,0.826488626156391,0.312302658878886,0.394704153589982,0.00237916365719815
"60",12782,0.42,0.17821239464757,0.112603878116343,0.24178760535243,0.307396121883657,0.820166494752629,0.0584612461020622,0.0944923757491118,0.00272251499885268
"61",12783,-0.91,0.178747138594359,0.109058171745152,-1.08874713859436,-1.01905817174515,0.825274470772974,1.1853703317974,1.03847955740057,0.00120590892518813
"62",12786,-1.64,0.1743619132493,0.10612188365651,-1.8143619132493,-1.74612188365651,0.850404687638204,3.29190915224966,3.04894163258416,-0.00115263975049296
"63",12787,-1.19,0.164181600520703,0.101274238227147,-1.3541816005207,-1.29127423822715,0.860707276882316,1.83380780718881,1.6673891583091,-0.00265864457500298
"64",12788,1.2,0.164341442398099,0.0941274238227147,1.0356585576019,1.10587257617729,0.863713464188019,1.07258864793405,1.22295415474099,-0.00124477050599192
"65",12789,-0.49,0.170147135481007,0.10191135734072,-0.660147135481007,-0.59191135734072,0.860946303396109,0.435794240483779,0.350359054948934,-0.00199432210934025
"66",12790,0.64,0.173398598801533,0.101606648199446,0.466601401198467,0.538393351800554,0.856327356993515,0.217716867600373,0.289867401263035,-0.00133515162914033
"67",12793,-1.8,0.180430103024238,0.108781163434903,-1.98043010302424,-1.9087811634349,0.883680187870273,3.92210339296459,3.6434455298839,-0.0036342610555179
"68",12794,0.08,0.176046391970886,0.108614958448753,-0.096046391970886,-0.0286149584487535,0.877235799815653,0.00922490941062508,0.000818815847023887,-0.00367787346297488
"69",12795,-1.15,0.178329145947856,0.109418282548476,-1.32832914594786,-1.25941828254848,0.885416126000117,1.76445831997456,1.58613441041735,-0.00505742886745131
"70",12796,0.78,0.17014291497473,0.107479224376731,0.60985708502527,0.672520775623269,0.882085872728049,0.371925664155519,0.452284193644923,-0.00434971605464018
"71",12797,1.05,0.167715336491183,0.107008310249307,0.882284663508817,0.942991689750693,0.882088672909252,0.778426227462867,0.889233326938866,-0.00339977622439069
"72",12801,-0.59,0.171504609616231,0.103656509695291,-0.761504609616231,-0.693656509695291,0.880526985347237,0.579889270466768,0.481159353442653,-0.00414041783448815
"73",12802,-1.1,0.168613314770666,0.102216066481994,-1.26861331477067,-1.20221606648199,0.886991060486769,1.60937974241342,1.44532347050744,-0.00532724263995976
"74",12803,-0.72,0.163379726885007,0.0986426592797784,-0.883379726885007,-0.818642659279778,0.886942356691087,0.78035974187143,0.670175803592667,-0.0061001214864056
"75",12804,-2.14,0.156538612991655,0.0959556786703601,-2.29653861299165,-2.23595567867036,0.920053829322498,5.27408960096163,4.99949779697823,-0.00780501090589691
"76",12807,0.33,0.148459932751809,0.0870083102493075,0.181540067248191,0.242991689750693,0.914217996718628,0.0329567960164778,0.0590449612878968,-0.00756214049133863
"77",12808,1.26,0.147604887437976,0.0856509695290859,1.11239511256202,1.17434903047091,0.917066245155606,1.23742288645188,1.37909564536798,-0.00642936505791591
"78",12809,0.26,0.147117004469989,0.0876731301939058,0.112882995530011,0.172326869806094,0.911258294021363,0.0127425706798284,0.0296965500571665,-0.00626728854545267
"79",12810,-0.79,0.152399249085973,0.0829085872576177,-0.942399249085973,-0.872908587257618,0.911659130596868,0.888116344677806,0.76196940170809,-0.00706712128816467
"80",12811,1.45,0.148737599093338,0.0839612188365651,1.30126240090666,1.36603878116343,0.9175507553922,1.69328383601337,1.86606195164248,-0.0057482033507098
"81",12814,0.66,0.152538228234846,0.0878393351800554,0.507461771765154,0.572160664819945,0.913610856372836,0.257517449803029,0.327367826367201,-0.00522686635405833
"82",12815,0.61,0.150692704529821,0.0882548476454294,0.459307295470179,0.521745152354571,0.90943852779787,0.21096319167213,0.272218004005494,-0.00477380521718751
"83",12816,-0.8,0.147681278519606,0.0868698060941828,-0.947681278519606,-0.886869806094183,0.909908849829221,0.898099805656556,0.786538052961534,-0.00545644013670177
"84",12817,1.68,0.140193059466871,0.0783102493074792,1.53980694053313,1.60168975069252,0.919947830811937,2.37100541411399,2.56541005747347,-0.00406778659244689
"85",12818,-0.28,0.140171076754475,0.0797506925207756,-0.420171076754475,-0.359750692520776,0.915655218265622,0.176543733741015,0.129420560769178,-0.00434287422333668
