"","Date","actural_return","predicted_return","historic_mean","f_err","r_err","RMSE_svm","se_svm","se_mean","RMSE_diff"
"1",12697,-0.04,0.190563629082319,0.19075,-0.230563629082319,-0.23075,0.230563629082319,0.0531595870556092,0.0532455625,0.000186370917680867
"2",12698,-0.03,0.186811665110313,0.1901108033241,-0.216811665110313,-0.2201108033241,0.223793303277283,0.0470072981279064,0.0484487657399805,0.00169985431289846
"3",12699,-0.99,0.189187395865089,0.185180055401662,-1.17918739586509,-1.17518005540166,0.704899472679286,1.39048291456709,1.38104816261385,-0.0018720927350353
"4",12702,0.05,0.182979774317231,0.184570637119114,-0.132979774317231,-0.134570637119114,0.614071131899243,0.0176836203774616,0.0181092563746441,-0.00152485870258079
"5",12703,-1.19,0.182755277617339,0.182271468144044,-1.37275527761734,-1.37227146814404,0.823746377516081,1.88445705222626,1.88312898228221,-0.00107016787942327
"6",12704,-0.15,0.176516499623512,0.178614958448753,-0.326516499623512,-0.328614958448753,0.763697529226582,0.106613024526391,0.107987790916276,-0.000811722959029315
"7",12705,0.39,0.17506835497073,0.175484764542936,0.21493164502927,0.214515235457064,0.711698080942003,0.0461956120349882,0.0460167862431995,-0.000764559168375811
"8",12706,-1.12,0.178892295170475,0.17617728531856,-1.29889229517047,-1.29617728531856,0.808758330974783,1.68712119445322,1.68007555497579,-0.00113366090474054
"9",12709,1.62,0.173413890816948,0.174819944598338,1.44658610918305,1.44518005540166,0.902178331388983,2.09261137128136,2.08854539253075,-0.00115383707544503
"10",12710,1.14,0.174227438552795,0.170443213296399,0.965772561447205,0.969556786703601,0.908738043392846,0.932716640444295,0.940040362643012,-0.000627553594401142
"11",12711,-0.33,0.177056850971944,0.171939058171745,-0.507056850971944,-0.501939058171745,0.879832368600673,0.257106650117584,0.251942818118339,-0.000856237218356148
"12",12712,0.45,0.174442918042514,0.170193905817175,0.275557081957486,0.279806094182826,0.846122857048012,0.0759317054169248,0.0782914503418482,-0.000699842354583646
"13",12713,0.04,0.17863257196656,0.171024930747922,-0.13863257196656,-0.131024930747922,0.813837333049149,0.0192189900100633,0.0171675324774979,-0.000768672037177009
"14",12716,-0.06,0.179505983836434,0.172603878116343,-0.239505983836434,-0.232603878116343,0.78684127900888,0.0573631162934581,0.0541045641147628,-0.000886310202861562
"15",12717,1.19,0.16573911789468,0.172714681440443,1.02426088210532,1.01728531855956,0.80485108898246,1.04911035461117,1.03486941935682,-0.00139926917706656
"16",12718,0.95,0.185314095463096,0.179113573407202,0.764685904536904,0.770886426592798,0.802399669123078,0.584744532597423,0.594265882705013,-0.000944419127250407
"17",12719,-0.36,0.185538324810541,0.18180055401662,-0.545538324810541,-0.54180055401662,0.789606593332412,0.297612063837091,0.293547840332717,-0.00105482606361218
"18",12720,0.22,0.18218463184062,0.174653739612188,0.0378153681593799,0.0453462603878116,0.767411440060651,0.00143000206902945,0.00205628333115922,-0.0010023381227795
"19",12723,0.21,0.182911548412639,0.174238227146814,0.0270884515873608,0.0357617728531856,0.746969298116932,0.00073378420940079,0.00127890439760284,-0.000956340983955251
"20",12724,1,0.180081300696973,0.174903047091413,0.819918699303027,0.825096952908587,0.750785128639463,0.672266673466767,0.680784981699035,-0.000619937041821728
"21",12725,0.18,0.180069798573172,0.172299168975069,-6.97985731721307e-05,0.00770083102493074,0.732691261966241,4.87184081686528e-09,5.93027984745359e-05,-0.000603068069820356
"22",12726,-0.34,0.163361324086406,0.170360110803324,-0.503361324086406,-0.510360110803324,0.723845124544212,0.25337262258602,0.260467442699181,-0.000359777604822864
"23",12727,1.82,0.176058802881638,0.168476454293629,1.64394119711836,1.65152354570637,0.786557758590206,2.70254265958295,2.72753002202254,0.000373901367708318
"24",12730,0.99,0.178942944679052,0.172354570637119,0.811057055320948,0.817645429362881,0.787593778060487,0.657813546985887,0.66854404815801,0.000641516478647963
"25",12731,-0.27,0.184982898322221,0.174349030470914,-0.454982898322221,-0.444349030470914,0.777027784818944,0.207009437765689,0.197446060880441,0.000378239604668429
"26",12732,1.74,0.172191870670198,0.174681440443213,1.5678081293298,1.56531855955679,0.821638297500523,2.45802233039261,2.45022219289293,0.000161447972463646
"27",12733,0.36,0.186790303534627,0.183296398891967,0.173209696465373,0.176703601108033,0.80696799672322,0.0300015989496267,0.0312241626445469,0.000186344518180559
"28",12734,0.55,0.186537868630947,0.182631578947368,0.363462131369053,0.367368421052632,0.795398218095759,0.132104720939334,0.134959556786704,0.000246378679561121
"29",12737,-1.34,0.174282202628286,0.183047091412742,-1.51428220262829,-1.52304709141274,0.830610155849181,2.29305058919677,2.31967244266081,0.000780070077749495
"30",12738,1.46,0.186490217700554,0.177645429362881,1.27350978229945,1.28235457063712,0.849103661999064,1.62182716561238,1.64443324483391,0.00118089370512442
"31",12739,-0.39,0.186756762852437,0.189529085872576,-0.576756762852437,-0.579529085872576,0.841694895838587,0.332648363496023,0.335853961372304,0.00121421286202683
"32",12740,-0.31,0.186968554596743,0.180415512465374,-0.496968554596743,-0.490415512465374,0.833084197657277,0.246977744257976,0.240507374866675,0.00106724442156991
"33",12741,-0.18,0.172406109380627,0.18393351800554,-0.352406109380627,-0.36393351800554,0.822655107200283,0.12419006592879,0.132447605527889,0.00119990563688932
"34",12744,0.92,0.172162154155262,0.181024930747922,0.747837845844738,0.738975069252078,0.820551974945687,0.559261443677698,0.546084152976113,0.000931759181615255
"35",12745,-0.29,0.175936691660453,0.183905817174515,-0.465936691660453,-0.473905817174515,0.81257062080083,0.217097000635488,0.224586723551845,0.00104555034705267
"36",12746,0.17,0.186629503087524,0.183656509695291,-0.0166295030875236,-0.0136565096952908,0.801210230820565,0.000276540372937958,0.000186500257057573,0.00102936155373812
"37",12748,0.03,0.183680292189766,0.188698060941828,-0.153680292189766,-0.158698060941828,0.790712638805723,0.0236176322075318,0.0251850745466962,0.00104159147459215
"38",12751,-0.78,0.17448925423372,0.184238227146814,-0.95448925423372,-0.964238227146814,0.795454676197845,0.911049736447644,0.929755358691232,0.00131712501432857
"39",12752,1.05,0.178480088867941,0.18202216066482,0.871519911132059,0.86797783933518,0.797495701252466,0.759546955499632,0.753385529576968,0.00118120225153528
"40",12753,0.04,0.184671091642391,0.183268698060942,-0.144671091642391,-0.143268698060942,0.787796072468747,0.0209297247570011,0.0205259198440773,0.00115945497375269
"41",12754,-0.39,0.175483984680898,0.185623268698061,-0.565483984680898,-0.575623268698061,0.783125043885977,0.319772136930586,0.33134214746664,0.00131782379300771
"42",12755,-0.61,0.173588820234782,0.183268698060942,-0.783588820234782,-0.793268698060942,0.783136089371793,0.614011439196937,0.629275227323302,0.00151807081406474
"43",12758,-1.1,0.16961329939639,0.181357340720222,-1.26961329939639,-1.28135734072022,0.797825643626695,1.61191793000419,1.6418766346176,0.00189126821512986
"44",12759,0.71,0.174989788018831,0.176759002770083,0.535010211981169,0.533240997229917,0.792820676516667,0.286235926924136,0.284345961126756,0.00183294931115296
"45",12760,-0.05,0.174834497777055,0.180138504155125,-0.224834497777055,-0.230138504155125,0.784678193859451,0.0505505513906605,0.0529637310947583,0.00184490988981445
"46",12761,0.74,0.170904949170811,0.176481994459834,0.569095050829189,0.563518005540166,0.780624934061502,0.323869176878277,0.317552542567967,0.00172644389944343
"47",12762,0.75,0.176363313904621,0.176315789473684,0.573636686095379,0.573684210526316,0.776795412163614,0.329059047634488,0.329113573407202,0.00169880799950739
"48",12765,0.27,0.176373104740688,0.179168975069252,0.0936268952593118,0.0908310249307479,0.768779989609653,0.00876599551589815,0.00825027508997015,0.00167378717789013
"49",12766,-0.25,0.169659131761566,0.177119113573407,-0.419659131761566,-0.427119113573407,0.76325300140099,0.176113786870872,0.182430737179733,0.00173577804395719
"50",12767,1.8,0.166445410206421,0.179390581717452,1.63355458979358,1.62060941828255,0.790110152587208,2.66850059783567,2.6263748866261,0.0011111652219491
"51",12768,-0.46,0.176505794835216,0.182354570637119,-0.636505794835216,-0.642354570637119,0.787386372604512,0.40513962685881,0.412619394418398,0.00118615358618124
"52",12769,-0.55,0.179891904143274,0.18,-0.729891904143274,-0.73,0.786320355537078,0.532742191733895,0.5329,0.00116686148006862
"53",12772,-0.5,0.176519234658218,0.18016620498615,-0.676519234658218,-0.68016620498615,0.784390915663823,0.457678274862542,0.462626066405261,0.00120709172863043
"54",12773,2.51,0.170932665721693,0.181412742382271,2.33906733427831,2.32858725761773,0.839758549390418,5.47123599428782,5.42231861633965,0.00056791676498491
"55",12774,3.35,0.177125293257334,0.186592797783934,3.17287470674267,3.16340720221607,0.935634278332565,10.0671339046874,10.0071451270325,-8.22498296189078e-05
"56",12775,1.21,0.176895895366321,0.199750692520776,1.03310410463368,1.01024930747922,0.937463682577609,1.06730409101096,1.02060366326225,-0.000525550422424303
"57",12779,-0.24,0.179150980869285,0.199362880886427,-0.419150980869285,-0.439362880886427,0.930860988823563,0.175687544763683,0.19303974110082,-0.000356397393373453
"58",12780,0.2,0.174641458945868,0.19786703601108,0.0253585410541316,0.00213296398891968,0.922807441946422,0.000643055604394079,4.54953537802817e-06,-0.000359276447478685
"59",12781,0.44,0.172288061208302,0.19612188365651,0.267711938791698,0.24387811634349,0.915617204330094,0.0716696821716101,0.059476535631249,-0.000468866057813266
"60",12782,-0.51,0.172161236599647,0.195567867036011,-0.682161236599647,-0.705567867036011,0.912215992147412,0.465343952719159,0.497826014993746,-0.000165935073586199
"61",12783,0.43,0.168687571529109,0.192880886426593,0.261312428470891,0.237119113573407,0.905326362356553,0.0682841852733547,0.0562254740218384,-0.000273661504239797
"62",12786,-2.06,0.165631789510497,0.191274238227147,-2.2256317895105,-2.25127423822715,0.941429952403586,4.9534368624797,5.06823569570522,0.000724233031435872
"63",12787,-1,0.159297469682511,0.184210526315789,-1.15929746968251,-1.18421052631579,0.945280445920803,1.34397062321227,1.40235457063712,0.00119953346535995
"64",12788,0.27,0.15929305273237,0.173462603878116,0.11070694726763,0.0965373961218837,0.937968455284044,0.0122560281733178,0.00931946884999348,0.00116556741416363
"65",12789,0.73,0.16255783594339,0.175650969529086,0.56744216405661,0.554349030470914,0.933382758394739,0.321990609549248,0.307302847584042,0.00103237298054171
"66",12790,-0.46,0.166238944407051,0.180775623268698,-0.626238944407051,-0.640775623268698,0.929486617048335,0.392175215492057,0.410593399375388,0.00117093684369685
"67",12793,-2.21,0.162909224741491,0.1801108033241,-2.37290922474149,-2.3901108033241,0.967001000885531,5.63069818886327,5.71262965216657,0.00174013873571044
"68",12794,-0.22,0.162846329760064,0.172631578947368,-0.382846329760064,-0.392631578947368,0.960986502973585,0.146571312210751,0.154159556786704,0.0017832381565156
"69",12795,0.58,0.158389114513584,0.173905817174515,0.421610885486416,0.406094182825485,0.955346660989368,0.17775573876064,0.164912485324698,0.00167053137323037
"70",12796,1.04,0.15709496122197,0.173739612188366,0.88290503877803,0.866260387811634,0.954350497543326,0.779521307499635,0.750407059491563,0.00143084779256031
"71",12797,0.77,0.156423785757784,0.17191135734072,0.613576214242216,0.59808864265928,0.95039959588517,0.37647577068381,0.35771002447802,0.00127771235911567
"72",12801,-0.39,0.157408053541904,0.170637119113573,-0.547408053541904,-0.560637119113573,0.945978861044135,0.299655577082536,0.314313979327967,0.00137331600756796
"73",12802,-0.38,0.15188504197408,0.167506925207756,-0.53188504197408,-0.547506925207756,0.941537463858075,0.282901697875769,0.299763833150452,0.00148337761037287
"74",12803,1.11,0.150283701636972,0.164736842105263,0.959716298363028,0.945263157894737,0.9417854626752,0.921055373343632,0.89352243767313,0.00126571590416547
"75",12804,0.91,0.148258464122315,0.166343490304709,0.761741535877685,0.743656509695291,0.93961183217859,0.580250167481294,0.553025004412182,0.00105880720933815
"76",12807,-1.6,0.148261159783528,0.167340720221607,-1.74826115978353,-1.76734072022161,0.954709219444096,3.05641708280765,3.12349322135343,0.00148999390860394
