"","Date","actural_return","historic_mean","predicted_return","f_err","r_err","RMSE_diff","se_lm","se_mean"
"1",12655,-0.04,0.214697678177548,0.19075,-0.254697678177548,-0.23075,-0.0239476781775484,0.064870907269034,0.0532455625
"2",12656,-0.03,-0.165001666719025,0.185777777777778,0.135001666719025,-0.215777777777778,0.0195556561049375,0.0182254500169148,0.046560049382716
"3",12657,-0.99,0.442758855490796,0.187833333333333,-1.4327588554908,-1.17783333333333,-0.139721105442096,2.05279793798729,1.38729136111111
"4",12660,0.05,0.386421609201767,0.182638888888889,-0.336421609201767,-0.132638888888889,-0.136516575980373,0.113179499137907,0.017593074845679
"5",12661,-1.19,0.194420545249272,0.182416666666667,-1.38442054524927,-1.37241666666667,-0.0895733233610976,1.91662024610829,1.88352750694444
"6",12662,-0.15,0.0668168984274544,0.176388888888889,-0.216816898427454,-0.326388888888889,-0.0747351009492504,0.0470095674437011,0.106529706790123
"7",12663,0.39,-0.209273706901181,0.175583333333333,0.599273706901181,0.214416666666667,-0.0969493397215133,0.359128975783082,0.0459745069444444
"8",12664,-1.12,0.132776005924429,0.178416666666667,-1.25277600592443,-1.29841666666667,-0.0678762969217844,1.56944772101996,1.68588584027778
"9",12668,1.62,0.217662454112627,0.166416666666667,1.40233754588737,1.45358333333333,-0.0460906385287868,1.96655059260542,2.11290450694444
"10",12669,1.14,-0.264984506010222,0.16925,1.40498450601022,0.97075,-0.0940346120679336,1.97398146212879,0.9423555625
"11",12670,-0.33,0.499285332717969,0.171583333333333,-0.829285332717969,-0.501583333333333,-0.10869126179109,0.687714163061152,0.251585840277778
"12",12671,0.45,-0.955833363294896,0.17025,1.4058333632949,0.27975,-0.183472412177288,1.97636744535304,0.0782600625
"13",12674,0.04,0.321010849104652,0.172972222222222,-0.281010849104652,-0.132972222222222,-0.178502050237335,0.0789670973145174,0.017681611882716
"14",12675,-0.06,0.196945605374992,0.173361111111111,-0.256945605374992,-0.233361111111111,-0.171995900205408,0.0660210441215212,0.0544574081790123
"15",12676,1.19,-0.545230791229745,0.176305555555556,1.73523079122974,1.01369444444444,-0.224995305193459,3.01102589883181,1.02757642669753
"16",12677,0.95,0.056499238619788,0.179666666666667,0.893500761380212,0.770333333333333,-0.219119621634488,0.798343610587018,0.593413444444444
"17",12678,-0.36,0.169281258047607,0.176138888888889,-0.529281258047607,-0.536138888888889,-0.21007161624101,0.280138650120457,0.287444908179012
"18",12681,0.22,-0.363752211041669,0.174111111111111,0.583752211041669,0.0458888888888889,-0.213774044225913,0.340766643896037,0.00210579012345679
"19",12682,0.21,0.299450786361854,0.174805555555556,-0.0894507863618539,0.0351944444444444,-0.208249232164568,0.00800144318075403,0.00123864891975309
"20",12683,1,0.255407512023441,0.17,0.744592487976559,0.83,-0.194460109125707,0.554417973151122,0.6889
"21",12684,0.18,0.578538964924562,0.170333333333333,-0.398538964924562,0.00966666666666666,-0.193859566965441,0.158833306563141,9.34444444444443e-05
"22",12685,-0.34,-0.271356868540198,0.169888888888889,-0.0686431314598016,-0.509888888888889,-0.181317420018397,0.0047118794966076,0.259986679012346
"23",12688,1.82,-0.368342435315089,0.167777777777778,2.18834243531509,1.65222222222222,-0.208627983512503,4.78884261420078,2.72983827160494
"24",12689,0.99,-0.571946406537907,0.172083333333333,1.56194640653791,0.817916666666667,-0.237154329799507,2.43967657689668,0.668987673611111
"25",12690,-0.27,-0.0204192606071125,0.175916666666667,-0.249580739392888,-0.445916666666667,-0.228474297204128,0.0622905454759005,0.198841673611111
"26",12691,1.74,0.507531900366496,0.178972222222222,1.2324680996335,1.56102777777778,-0.194081031242641,1.51897761661422,2.43680772299383
"27",12692,0.36,0.148562139090521,0.182138888888889,0.211437860909479,0.177861111111111,-0.190557074890524,0.044705969025976,0.031634574845679
"28",12695,0.55,-0.501834537497709,0.182027777777778,1.05183453749771,0.367972222222222,-0.204032913904725,1.10635589427302,0.135403556327161
"29",12696,-1.34,-0.236740013347439,0.181861111111111,-1.10325998665256,-1.52186111111111,-0.172129571591188,1.21718259814861,2.31606124151235
"30",12697,1.46,0.238194934510045,0.186,1.22180506548996,1.274,-0.161694062345165,1.49280761805691,1.623076
"31",12698,-0.39,0.00671999223789798,0.182,-0.396719992237898,-0.572,-0.15532564481243,0.157386752241238,0.327184
"32",12699,-0.31,0.511814440505605,0.185305555555556,-0.821814440505605,-0.495305555555556,-0.1589556228576,0.675378974623541,0.245327593364198
"33",12702,-0.18,0.18990769490576,0.182027777777778,-0.36990769490576,-0.362027777777778,-0.156232223181792,0.136831702750493,0.131064111882716
"34",12703,0.92,0.542404297138011,0.181861111111111,0.377595702861989,0.738138888888889,-0.146272410329445,0.142578514819839,0.544849019290124
"35",12704,-0.29,0.402349434408882,0.184972222222222,-0.692349434408882,-0.474972222222222,-0.147349885701322,0.479347739326299,0.225598611882716
"36",12705,0.17,-0.238239229582166,0.18875,0.408239229582167,-0.01875,-0.147723052264371,0.166659268569841,0.0003515625
"37",12706,0.03,0.556026272680034,0.184666666666667,-0.526026272680034,-0.154666666666667,-0.149287347086559,0.276703639549649,0.0239217777777778
"38",12709,-0.78,-0.337637235959172,0.184694444444444,-0.442362764040828,-0.964694444444445,-0.134556279272614,0.195684815009841,0.930635371141975
"39",12710,1.05,0.731285015123726,0.180861111111111,0.318714984876274,0.869138888888889,-0.122014448177442,0.101579241584684,0.755402408179012
"40",12711,0.04,0.122064696210471,0.186027777777778,-0.0820646962104706,-0.146027777777778,-0.120234247040251,0.00673461436411682,0.021324111882716
